firstname,lastname,alderman,ward,ward_phone,website_url,email,cq,notes
Michael,"Scott, Jr.","Michael Scott, Jr.",24,(773) 533-2400,http://www.aldermanscott.com,alderman24@aldermanscott.com,DE,
Byron,Sigcho-Lopez,Byron Sigcho-Lopez,25,(773) 523-4100,https://www.25thward.org/,ward25@cityofchicago.org,DE,inquiries@25thward.org
Roberto,Maldonado,Roberto Maldonado,26,(773) 395-0143,http://robertomaldonado.com,ward26@cityofchicago.org,DE,
Walter,"Burnett, Jr.","Walter Burnett, Jr.",27,(312) 432-1995,http://aldermanburnett.com/,tamara@aldermanburnett.com,DE,
Jason C.,Ervin,Jason C. Ervin,28,(773) 533-0900,http://www.AldermanErvin.com/,info@aldermanervin.com,DE,
Chris,Taliaferro,Chris Taliaferro,29,(773) 237-6460,http://www.aldtaliaferro.com,ward29@cityofchicago.org,DE,
Ariel,Reboyras,Ariel Reboyras,30,(773) 794-3095,https://www.30thwardchicago.com/,ward30@cityofchicago.org,DE,
Felix,"Cardona, Jr.","Felix Cardona, Jr.",31,(773) 703-7357,https://www.facebook.com/felixcardona2019/,ward31@cityofchicago.org,DE,"Called the number, mailbox full. This is a new operation so might be as good as it gets for now."
Scott,Waguespack,Scott Waguespack,32,(773) 248-1330,http://www.ward32.org,info@ward32.org,DE,
Rossana,Rodriguez Sanchez,Rossana Rodriguez Sanchez,33,(773) 840-7880,http://33rdward.org,info@33rdward.org,DE,
Carrie M.,Austin,Carrie M. Austin,34,(773) 928-6961,http://ward34.com,terri.marsh@cityofchicago.org,DE,
Carlos,Ramirez-Rosa,Carlos Ramirez-Rosa,35,(773) 887-3772,http://www.aldermancarlosrosa.org,ward35@cityofchicago.org,DE,"Got voicemail, but website confirms most of this"
Gilbert,Villegas,Gilbert Villegas,36,(773) 745-4636,http://www.36thward.org,ward36@cityofchicago.org,DE,
Emma,Mitts,Emma Mitts,37,(773) 379-0960,https://em-37.com/,ward37@cityofchicago.org,DE,
Nicholas,Sposato,Nicholas Sposato,38,(773) 283-3838,http://aldermansposato.com/,ward38@cityofchicago.org,DE,
Samantha,Nugent,Samantha Nugent,39,(773) 538-3097,https://samanthanugent39.com/,Info@samanthanugent39.com,DE,"Did not talk on phone, but website confirms this and number was correct voice mail boxx"
Andre,"Vasquez, Jr.","Andre Vasquez, Jr.",40,(773) 654-1867,https://40thward.org/,info@40thward.org,DE,
Anthony V.,Napolitano,Anthony V. Napolitano,41,(773) 631-2241,http://www.chicago41.com,ward41@cityofchicago.org,DE,
Brendan,Reilly,Brendan Reilly,42,(312) 744-3062,http://www.ward42chicago.com/,office@ward42chicago.com,DE,
Michele,Smith,Michele Smith,43,(773) 348-9500,http://www.ward43.org/,yourvoice@ward43.org,DE,
Thomas,Tunney,Thomas Tunney,44,(773) 525-6034,http://44thward.org/,ward44@cityofchicago.org,DE,
James M.,Gardiner,James M. Gardiner,45,(773) 853-0799,http://www.aldermangardiner.com,ward45@cityofchicago.org,DE,
James,Cappleman,James Cappleman,46,(773) 878-4646,http://www.James46.org/,info@james46.org,DE,
Matthew J.,Martin,Matthew J. Martin,47,(773) 868-4747,http://aldermanmartin.com,info@aldermanmartin.com,DE,May need to try FB?
Harry,Osterman,Harry Osterman,48,(773) 784-5277,http://www.48thward.org,ward48@cityofchicago.org,DE,
Maria E.,Hadden,Maria E. Hadden,49,(773) 338-5796,https://www.49thward.org/,office@49thward.org,DE,"Leslie Perkins, leslie@49thward.org "
Debra L.,Silverstein,Debra L. Silverstein,50,(773) 262-1050,http://50thwardchicago.com,info@50thwardchicago.com,DE,"Did not reach on phone, website and voicemail message confirm "
